 Price ,Area,Location,Bedrooms,Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,Security 24x7,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool
2500000,300,Kandivali East,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5500000,400,I C Colony,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0
8000000,650,Dahisar W,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
27500000,1600,Malad East,3,1,1,1,1,0,1,1,1,1,1,1,0,1,1
11500000,860,Marol,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1
35900000,1320,Parel,2,0,0,1,1,0,1,0,0,0,1,0,0,0,1
42000000,1200,Lower Parel,2,0,0,1,1,0,1,0,0,0,1,0,0,0,1
33100000,1320,Parel,2,0,0,1,1,0,1,0,0,0,1,0,0,0,1
106000000,2826,Worli,3,0,0,1,1,0,1,0,0,0,1,0,0,0,1
101400000,2880,Lower Parel,3,0,0,1,1,0,0,0,0,0,1,0,0,0,1
32500000,997,Jogeshwari East,3,0,0,1,1,0,1,0,0,0,1,0,0,0,0
18500000,1038,Jogeshwari East,2,1,1,1,0,0,0,1,1,1,1,0,0,0,1
11000000,600,Malad West,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
9200000,400,Chembur Shell Colony,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
50100000,2800,Central Avenue,4,0,1,1,1,1,1,0,0,0,0,0,0,0,0
33000000,1400,Chembur East,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0
34100000,1500,Diamond Market Road,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0
21800000,1412,Mulund,3,0,1,1,1,0,0,0,1,1,1,1,1,0,0
21200000,1412,Mulund,3,0,1,1,1,0,0,0,1,1,1,1,1,0,0
3000000,545,Nalasopara West,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
11000000,585,raheja vihar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
17900000,1000,raheja vihar,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0
19500000,1050,Powai Lake,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
19500000,1014,MHADA Colony 20,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0
16000000,900,Goregaon East,2,0,0,1,1,1,1,1,0,1,0,0,0,0,0
11500000,600,Tolaram Colony,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
10500000,700,Tolaram Colony,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
6400000,1550,Taloja,3,0,1,1,1,0,0,0,0,1,0,0,0,0,1
90000000,5245,Thane West,5,1,1,1,1,0,0,1,1,1,1,1,1,1,1
2100000,529,Vangani,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3600000,530,Sector 20 Kharghar,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
9200000,1260,Sector 5 Ulwe,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
9000000,1260,Sector12 New Panvel,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
9200000,1150,Sector 17 Ulwe,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
5300000,690,Sector 17 Ulwe,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
15500000,1240,Sector9 Kamothe,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0
9500000,1260,Sector 19 Kharghar,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
9000000,1240,Sector 5 Ulwe,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
10100000,1265,Navi Basti,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10800000,1260,Sector12 Kamothe,2,0,1,1,1,1,1,0,1,0,0,0,0,0,0
